C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
C3D_rgb_prova

TRAIN
[epoch: 0, iter:      1] loss(avg): 2.484	 train_acc(avg): 18.750%
[epoch: 0, iter:      3] loss(avg): 2.484	 train_acc(avg): 15.625%
[epoch: 0, iter:      5] loss(avg): 2.484	 train_acc(avg): 12.500%
[epoch: 0, iter:      7] loss(avg): 2.485	 train_acc(avg): 12.500%
[epoch: 0, iter:      9] loss(avg): 2.485	 train_acc(avg): 12.500%
[epoch: 0, iter:     11] loss(avg): 2.484	 train_acc(avg): 11.979%
[epoch: 0, iter:     13] loss(avg): 2.485	 train_acc(avg): 11.161%
[epoch: 0, iter:     15] loss(avg): 2.485	 train_acc(avg): 10.156%
[epoch: 0, iter:     17] loss(avg): 2.485	 train_acc(avg): 10.069%
[epoch: 0, iter:     19] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     21] loss(avg): 2.485	 train_acc(avg): 9.659%
[epoch: 0, iter:     23] loss(avg): 2.485	 train_acc(avg): 9.896%
[epoch: 0, iter:     25] loss(avg): 2.485	 train_acc(avg): 9.856%
[epoch: 0, iter:     27] loss(avg): 2.485	 train_acc(avg): 9.598%
[epoch: 0, iter:     29] loss(avg): 2.485	 train_acc(avg): 9.583%
[epoch: 0, iter:     31] loss(avg): 2.485	 train_acc(avg): 9.570%
[epoch: 0, iter:     33] loss(avg): 2.485	 train_acc(avg): 9.743%
[epoch: 0, iter:     35] loss(avg): 2.485	 train_acc(avg): 9.722%
[epoch: 0, iter:     37] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     39] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     41] loss(avg): 2.485	 train_acc(avg): 9.077%
[epoch: 0, iter:     43] loss(avg): 2.486	 train_acc(avg): 8.949%
[epoch: 0, iter:     45] loss(avg): 2.486	 train_acc(avg): 8.832%
