C3D_rgb_prova

TRAIN
[epoch: 0, iter:      1] loss(avg): 2.484	 train_acc(avg): 18.750%
[epoch: 0, iter:      3] loss(avg): 2.484	 train_acc(avg): 15.625%
[epoch: 0, iter:      5] loss(avg): 2.484	 train_acc(avg): 12.500%
[epoch: 0, iter:      7] loss(avg): 2.485	 train_acc(avg): 12.500%
[epoch: 0, iter:      9] loss(avg): 2.485	 train_acc(avg): 12.500%
[epoch: 0, iter:     11] loss(avg): 2.484	 train_acc(avg): 11.979%
[epoch: 0, iter:     13] loss(avg): 2.485	 train_acc(avg): 11.161%
[epoch: 0, iter:     15] loss(avg): 2.485	 train_acc(avg): 10.156%
[epoch: 0, iter:     17] loss(avg): 2.485	 train_acc(avg): 10.069%
[epoch: 0, iter:     19] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     21] loss(avg): 2.485	 train_acc(avg): 9.659%
[epoch: 0, iter:     23] loss(avg): 2.485	 train_acc(avg): 9.896%
[epoch: 0, iter:     25] loss(avg): 2.485	 train_acc(avg): 9.856%
[epoch: 0, iter:     27] loss(avg): 2.485	 train_acc(avg): 9.598%
[epoch: 0, iter:     29] loss(avg): 2.485	 train_acc(avg): 9.583%
[epoch: 0, iter:     31] loss(avg): 2.485	 train_acc(avg): 9.570%
[epoch: 0, iter:     33] loss(avg): 2.485	 train_acc(avg): 9.743%
[epoch: 0, iter:     35] loss(avg): 2.485	 train_acc(avg): 9.722%
[epoch: 0, iter:     37] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     39] loss(avg): 2.485	 train_acc(avg): 9.375%
[epoch: 0, iter:     41] loss(avg): 2.485	 train_acc(avg): 9.077%
[epoch: 0, iter:     43] loss(avg): 2.486	 train_acc(avg): 8.949%
[epoch: 0, iter:     45] loss(avg): 2.486	 train_acc(avg): 8.832%
[epoch: 0, iter:     47] loss(avg): 2.486	 train_acc(avg): 8.854%
[epoch: 0, iter:     49] loss(avg): 2.486	 train_acc(avg): 8.750%
[epoch: 0, iter:     51] loss(avg): 2.486	 train_acc(avg): 8.413%
[epoch: 0, iter:     53] loss(avg): 2.486	 train_acc(avg): 8.333%
[epoch: 0, iter:     55] loss(avg): 2.486	 train_acc(avg): 8.259%
[epoch: 0, iter:     57] loss(avg): 2.486	 train_acc(avg): 8.190%
###VALIDATION###
[epoch: 0, iter:      0] val_loss(avg): 2.485	 val_acc(avg): 18.750%
[epoch: 0, iter:      2] val_loss(avg): 2.486	 val_acc(avg): 6.250%
